"","Indicator.Name","Indicator.Code","Year.Month","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cabo Verde","Cameroon","Central African Republic","Chad","Comoros","Côte d'Ivoire","Democratic Republic of the Congo","Djibouti","Egypt","Equatorial Guinea","Eswatini","Ethiopia","Gabon","Ghana","Guinea","Guinea-Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Republic of Congo","Rwanda","São Tomé and Príncipe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","South Sudan","Sudan","Tanzania","The Gambia","Togo","Tunisia","Uganda","Zambia","Zimbabwe"
"1","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-01-31",8.39,15.26,NA,NA,NA,11.81,5.64,NA,NA,NA,NA,3.96,NA,NA,NA,NA,21.09,27.96,NA,NA,54.39,NA,NA,18.2,28.27,NA,13.37,NA,NA,NA,16.67,4.61,NA,15.04,NA,12.75,-0.99,0.64,NA,10.89,28.03,5.78,NA,13.2,NA,22.03,NA,8.19,10.69,6.72,NA,NA,NA
"2","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-02-29",9.27,16.15,NA,NA,NA,20.62,6.97,NA,NA,NA,NA,5.67,NA,NA,NA,NA,19.54,30.17,NA,NA,13.13,NA,NA,18.26,24.65,NA,10.24,NA,NA,NA,18.02,5.92,18.05,15.16,NA,8.82,-4.96,0.4,NA,10.9,33.56,6.15,NA,13.56,NA,27.82,NA,8.13,12.46,7.75,NA,NA,NA
"3","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-03-31",10.91,16.82,NA,NA,NA,25.42,7.14,NA,NA,NA,NA,7.88,NA,NA,NA,NA,19.62,39.35,NA,NA,16.46,NA,NA,17.77,22.47,NA,9.74,NA,NA,NA,15.83,7.41,18.19,15.3,NA,12.47,-2.72,1.7,NA,8.92,31.49,6.29,NA,14.74,NA,27.92,NA,4.53,13.95,7.42,NA,NA,NA
"4","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-04-30",12.02,18.12,NA,NA,NA,34.58,8.29,NA,NA,NA,NA,10.13,NA,NA,NA,NA,17.8,39.1,NA,NA,26.02,NA,NA,14.33,15.7,NA,7.76,NA,NA,NA,14.15,6.95,17.97,16.33,NA,13.07,-5.71,5.91,NA,10.75,32.26,6.78,NA,14.65,29.87,34.07,NA,1.67,20.37,5.59,NA,NA,NA
"5","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-05-31",12.61,18.62,NA,NA,NA,32.18,9.09,NA,NA,NA,NA,10.75,NA,NA,NA,NA,18.66,54.11,NA,NA,30.95,NA,NA,13.79,26.28,NA,9.32,NA,NA,NA,14.89,11.46,17.36,15.96,NA,14.61,-2.27,11.8,NA,12.51,30.4,7.17,NA,15.53,26.79,31.28,NA,1.91,24.43,4.22,NA,NA,NA
"6","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-06-30",6.47,19.02,NA,NA,NA,34.14,9.81,NA,NA,NA,NA,11.85,NA,NA,NA,NA,18.7,78.27,NA,NA,29.51,NA,NA,13.64,31.83,NA,10.82,NA,NA,NA,14.81,9.33,18.59,16.8,NA,17.92,-3.14,19.46,NA,19.66,31.74,9.17,NA,16.87,25.32,33.16,NA,2.63,23.81,3.61,NA,NA,NA
"7","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-07-31",3.12,18.65,NA,NA,NA,40.37,10.42,NA,NA,NA,NA,15.71,NA,NA,NA,NA,20.49,91.73,NA,NA,27.62,NA,NA,14.79,28.83,NA,11.89,NA,NA,NA,18.09,9.53,20.47,18.3,NA,20.59,-0.39,23,NA,15.18,35.54,9.92,NA,17.64,33.53,34.48,NA,5.02,23.78,4.85,NA,NA,NA
"8","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-08-31",5.54,19.15,NA,NA,NA,42.31,10.32,NA,NA,NA,NA,14.16,NA,NA,NA,NA,19.16,84.99,NA,NA,24.48,NA,NA,15.07,39.24,NA,12.84,NA,NA,NA,18.75,7.88,20.3,18.11,NA,18.56,3.85,23.04,NA,17.67,37.03,10.11,NA,17.25,25.37,45.4,NA,6.77,37.31,4.5,NA,NA,NA
"9","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-09-30",5.48,19.88,NA,NA,NA,42.22,11.78,NA,NA,NA,NA,14.9,NA,NA,NA,NA,18.32,80.94,NA,NA,22.65,NA,NA,16.52,27.86,NA,11.96,NA,NA,NA,17.64,6,21.43,18.6,NA,16.95,1.27,23.62,NA,15.9,35.82,10.25,NA,16.87,23.41,33.4,NA,8.14,24.11,5.3,NA,NA,NA
"10","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-10-31",4.49,20.25,NA,NA,NA,42.4,13.8,NA,NA,NA,NA,13.79,NA,NA,NA,NA,17.89,72.25,NA,NA,21.59,NA,NA,16.34,25.08,NA,10.82,NA,NA,NA,15.9,5.42,20.72,17.92,NA,18.88,5.32,27.33,NA,14.55,28.95,10.46,NA,15.95,9.82,19.92,NA,8.42,22.67,6.17,NA,NA,NA
"11","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-11-30",6.77,20.17,NA,NA,NA,40.44,8.64,NA,NA,NA,NA,13.47,NA,NA,NA,NA,18.17,63.33,NA,NA,14.8,NA,NA,15.68,19.17,NA,9.1,NA,NA,NA,14.06,6.36,19.92,17.03,NA,17.78,13.01,28.89,NA,8.44,63.94,10.43,NA,15.56,11.91,22.15,NA,8.29,11.48,5.27,NA,NA,NA
"12","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2008-12-31",5.99,20.1,NA,NA,NA,42.73,7,NA,NA,NA,NA,16.66,NA,NA,NA,NA,17.54,46.66,NA,NA,13.34,NA,NA,14.3,11.11,NA,8.88,NA,NA,NA,11.76,7.17,16.51,16.51,NA,17.63,13.18,30.89,NA,10.79,69.33,9.56,NA,15.56,11.94,18.13,NA,8.49,20.02,4.99,NA,NA,NA
"13","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-01-31",7.46,19.83,14.22,NA,NA,36.64,6.79,NA,NA,NA,NA,15.53,NA,NA,NA,NA,15.7,44.79,NA,NA,13.74,NA,NA,14.22,5.21,NA,7.91,NA,NA,NA,9.61,5.9,15.91,15.28,NA,18.12,6.44,28.22,NA,5.56,66.34,8.89,NA,15.96,6.52,12.34,NA,8.7,16.55,3.93,NA,NA,NA
"14","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-02-28",8.48,18.86,9.1,NA,NA,27.58,7.66,NA,NA,NA,NA,11.66,NA,NA,NA,NA,15.63,38.88,NA,NA,8.76,NA,NA,13.49,5.92,NA,8.96,NA,NA,NA,7.11,6.24,12.38,15.54,NA,19.63,8.83,28.92,NA,4.73,63.4,8.73,NA,15.93,6.52,12.79,NA,8.77,14.75,4.64,NA,NA,NA
"15","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-03-31",7.52,18.63,4.67,NA,NA,22.31,6.38,NA,NA,NA,NA,5.32,NA,NA,NA,NA,14.35,26.51,NA,NA,3.6,NA,NA,12.96,5.84,NA,9.88,NA,NA,NA,7,4.81,11.73,15.27,NA,16,11.7,31.75,NA,3.21,63.98,8.33,NA,14.75,11.52,13.05,NA,8.19,15.81,5.07,NA,NA,NA
"16","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-04-30",8,18.48,7.83,NA,NA,16.66,3.73,NA,NA,NA,NA,5.45,NA,NA,NA,NA,13.52,25.37,NA,NA,2.92,NA,NA,12.23,7.36,NA,10.45,NA,NA,NA,6.36,4.1,10.33,12.41,NA,15.11,10.96,27.6,NA,1.11,60.24,8.04,NA,13.9,8.85,9.44,NA,7.71,9.26,6.25,NA,NA,NA
"17","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-05-31",3.04,17.63,10.63,NA,NA,16.73,3.33,NA,NA,NA,NA,6.25,NA,NA,NA,NA,12.79,11.62,NA,NA,4.25,NA,NA,11.28,1.61,NA,10.46,NA,NA,NA,4.98,-1.23,7.9,12.19,NA,15.47,7.28,27.36,NA,-1.43,60.22,8.17,NA,12.3,2.63,9.94,NA,7.13,2.44,6.97,NA,NA,NA
"18","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-06-30",5.51,18.12,2.63,NA,NA,10.77,1.28,NA,NA,NA,NA,1.99,NA,NA,NA,NA,11.71,-3.39,NA,NA,3.7,NA,NA,10.25,0.56,NA,9.55,NA,NA,NA,4.76,-3.02,6.75,11.48,NA,12.98,9.01,16,NA,-9.87,56.85,7.98,NA,10.11,6.38,10.82,NA,6.51,5.41,6.85,NA,NA,NA
"19","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-07-31",10.19,18.63,1.54,NA,NA,9.24,0.27,NA,NA,NA,NA,-0.73,NA,NA,NA,NA,9.2,-12.39,NA,NA,3.46,NA,NA,8.19,0.14,NA,8.03,NA,NA,NA,3.17,-2.66,5.49,8.61,NA,12.69,4.77,16.72,NA,-8.94,50.67,7.61,NA,7.56,-1.77,8.97,NA,4.29,3.98,7.42,NA,NA,NA
"20","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-08-31",10.34,17.95,-2.66,NA,NA,5.72,-0.45,NA,NA,NA,NA,1.11,NA,NA,NA,NA,9.45,-12.79,NA,NA,4.83,NA,NA,6.31,-4.24,NA,6.07,NA,NA,NA,2.2,0.09,3.84,9.86,NA,12.66,3.45,13.5,NA,-7.84,42.56,7.77,NA,6.62,1.71,9.52,NA,2.77,3.18,6.81,NA,NA,NA
"21","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-09-30",9.42,17.6,-0.59,NA,NA,4.39,-0.89,NA,NA,NA,NA,-0.34,NA,NA,NA,NA,7.72,-13.64,NA,NA,5.32,NA,NA,4.28,1.85,NA,6.28,NA,NA,NA,1.81,3.57,2.98,7.8,NA,12.39,6.58,14.17,NA,-8.07,40.84,8.43,NA,5.05,-0.28,14.14,NA,2.64,15.86,5.55,NA,NA,NA
"22","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-10-31",9.86,17.59,-2.49,NA,NA,-0.81,-3.75,NA,NA,NA,NA,-0.81,NA,NA,NA,NA,5.27,-12.74,NA,NA,6.9,NA,NA,3.56,2.26,NA,6.31,NA,NA,NA,0.7,0.78,2.38,7.96,NA,13.43,-2.04,14.72,NA,-4.69,35.54,8.37,NA,5.01,7.77,14.45,NA,2.55,12.75,5.42,NA,NA,NA
"23","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-11-30",9.68,16.91,-3.62,NA,NA,-1.1,0.09,NA,NA,NA,NA,0.14,NA,NA,NA,NA,4,-8.05,NA,NA,13.51,NA,NA,3.17,3.06,NA,7.81,NA,NA,NA,1.17,-2.37,2.38,6.32,NA,13.44,-9.64,19.61,NA,-3.75,0.85,8.39,NA,4.15,10.52,16.74,NA,2.63,13.08,5.86,NA,NA,NA
"24","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2009-12-31",9.11,17.68,-2.92,NA,NA,-2.44,0.55,NA,NA,NA,NA,-2.65,NA,NA,NA,NA,3.48,0.65,NA,NA,12.64,NA,NA,2.87,4.25,NA,7.64,NA,NA,NA,1.26,-4.52,3.54,5.54,NA,15.81,-9.63,19.27,NA,-6.11,-4.79,8.88,NA,3.51,1.56,14.51,NA,2.84,5.11,5.72,NA,NA,NA
"25","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-01-31",7.71,17.29,-5.38,NA,NA,0.12,1.18,NA,NA,NA,NA,0.53,NA,NA,NA,NA,2.91,0.44,NA,NA,14.9,NA,NA,2.82,9.38,NA,-0.1,NA,NA,NA,3.13,-2.48,5.36,5.55,NA,16.09,-2.69,13.26,NA,0.02,-5.87,8.71,NA,2.02,-6.25,18.77,NA,4.34,4.09,6.19,NA,NA,-12.08
"26","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-02-28",5.76,17.63,-0.7,NA,NA,3.81,-0.62,NA,NA,NA,NA,0.13,NA,NA,NA,NA,1.88,-0.19,NA,NA,18.55,NA,NA,3.05,6.65,NA,5.91,NA,NA,NA,2.97,-1.32,8.47,5.6,NA,16.85,-1.48,5.38,NA,-1.2,-8.19,9.09,NA,1.62,1.61,17.97,NA,4.59,5.43,5.77,NA,NA,-6.81
"27","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-03-31",4.53,17.78,2.94,NA,NA,5.61,0.36,NA,NA,NA,NA,2.02,NA,NA,NA,NA,1.11,-0.13,NA,NA,22.61,NA,NA,3.14,10.95,NA,5.35,NA,NA,NA,3.27,0.95,9.39,4.52,NA,15.71,-4.02,2.22,NA,-1.44,-8.33,9.44,NA,1,0.98,18.4,NA,4.95,4.7,4.64,NA,NA,1.11
"28","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-04-30",1.81,18.33,3.53,NA,NA,5.1,1.35,NA,NA,NA,NA,4.76,NA,NA,NA,NA,0.43,-0.83,NA,NA,16.86,NA,NA,2.89,8.68,NA,5.66,NA,NA,NA,3.19,-1.11,11.28,3.84,NA,16.36,-3.94,0.69,NA,-1.99,-6.78,9.22,NA,0.8,3.69,18.94,NA,5.21,3.94,3.77,NA,NA,5.14
"29","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-05-31",9.69,18.27,-1.29,NA,NA,8.41,0.81,NA,NA,NA,NA,2.55,NA,NA,NA,NA,-1.77,0.06,NA,NA,16.71,NA,NA,2.99,11.96,NA,6,NA,NA,NA,3.03,2.85,16.01,2.57,NA,13.58,-2.77,-0.64,NA,-0.58,-5.63,8.67,NA,0.6,2.25,19.6,NA,5.36,-1.14,4.08,NA,NA,6.53
"30","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-06-30",9.67,17.46,8.46,NA,NA,8.22,1.62,NA,NA,NA,NA,5.92,NA,NA,NA,NA,-2.1,-0.04,NA,NA,16.98,NA,NA,2.62,1.42,NA,6.99,NA,NA,NA,2.62,3.39,18.57,2.06,NA,15.27,-2.5,1.86,NA,4.34,-5.23,8.32,NA,0.4,-0.84,18.57,NA,5.63,-0.24,4.6,NA,NA,7.39
"31","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-07-31",3.69,16.62,0.48,NA,NA,7.79,0.99,NA,NA,NA,NA,5.78,NA,NA,NA,NA,-0.81,-1.55,NA,NA,17.84,NA,NA,3.1,4.22,NA,7.97,NA,NA,NA,3.15,1.64,18.88,3.88,NA,14.52,-3.39,-5.51,NA,7.35,-4.68,8.64,NA,1.2,-0.76,15.86,NA,8.2,-1.41,4.27,NA,NA,7.18
"32","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-08-31",3.71,16.94,2.25,NA,NA,7.93,3.85,NA,NA,NA,NA,4.43,NA,NA,NA,NA,-1.7,-1.06,NA,NA,20.71,NA,NA,3.22,3.49,NA,7.71,NA,NA,NA,2.92,0.18,18.81,1.37,NA,15.37,-1.84,-4.23,NA,6.89,-2.18,8.34,NA,1.6,-0.91,11.67,NA,8.15,-2.33,4.21,NA,NA,7.18
"33","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-09-30",0.39,17.55,5,NA,NA,8.92,4.2,NA,NA,NA,NA,5.64,NA,NA,NA,NA,-0.34,1.4,NA,NA,21.53,NA,NA,3.61,7.13,NA,7.18,NA,NA,NA,4.16,-1.6,18.7,2.62,NA,14.07,4.46,-1.63,NA,8.89,-1.85,8.16,NA,1.4,-1.87,9.43,NA,8.23,-7.39,4.31,NA,NA,8.45
"34","Food and non-alcoholic beverages","PCPIF_PC_CP_A_PT","2010-10-31",1.11,17.52,8.15,NA,NA,8.5,4.53,NA,NA,NA,NA,9.15,NA,NA,NA,NA,1.5,5.44,NA,NA,22.02,NA,NA,3.54,7.26,NA,6.87,NA,NA,NA,4.8,3.11,18.51,1.53,NA,14.21,4.94,-4.83,NA,6.25,0.09,8.18,NA,0.99,-2.5,10.2,NA,8.14,-4.6,3.74,NA,NA,8.41
